,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product (FYFSGDA188S),Federal receipts as percent of gross domestic product (FYFRGDA1885),"Federal Outlays: Interest as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted (FYOIGDA188S)","Federal Outlays: Non-interest Outlays as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted","Federal Net Outlays: Net (Total) Outlays as Percent of Gross Domestic Product, Annual, Not Seasonally Adjusted (FYONGDA188S)",,,Congress Number,Congress Session,Democrat President in Whitehouse for majority of year,Democrat held Senate seats for majority of year,Republican held Senate seats for majority of year,Other party held Senate seats for majority of year,,Total Senate seats,Democrat held House seats for majority of year,Republican held House seats for majority of year,Other party held House seats for majority of year,,Total House seats
1937,-2.35799,5.79229,,,8.15027,Roosevelt2,Democrat,75,1,1,76,16,4,1,96,334,88,13,1,435
1938,-0.10189,7.7285,,,7.83039,Roosevelt2,Democrat,75,3,1,76,16,4,1,96,334,88,13,1,435
1939,-3.0459,6.73716,,,9.78306,Roosevelt2,Democrat,76,1,1,69,23,4,1,96,262,169,4,1,435
1940,-2.83773,6.36352,0.87367,8.32759,9.20126,Roosevelt2,Democrat,76,3,1,69,23,4,1,96,262,169,4,1,435
1941,-3.82108,6.73735,0.72926,9.82917,10.55843,Roosevelt2,Democrat,77,1,1,66,28,2,1,96,267,162,6,1,435
1942,-12.35478,8.81821,0.63392,20.53907,21.17299,Roosevelt2,Democrat,77,2,1,66,28,2,1,96,267,162,6,1,435
1943,-26.86278,11.81826,0.75289,37.92815,38.68104,Roosevelt2,Democrat,78,1,1,57,38,1,1,96,222,209,4,1,435
1944,-21.18852,19.49102,0.98865,39.69089,40.67954,Roosevelt2,Democrat,78,2,1,57,38,1,1,96,222,209,4,1,435
1945,-20.85594,19.80597,1.36487,39.29704,40.66191,Truman,Democrat,79,1,1,57,38,1,1,96,244,189,2,1,435
1946,-7.00376,17.27031,1.80676,22.46731,24.27407,Truman,Democrat,79,2,1,57,38,1,1,96,244,189,2,1,435
1947,1.60967,15.4293,1.68419,12.13544,13.81963,Truman,Democrat,80,1,1,45,51,0,0,96,188,246,1,0,435
1948,4.29777,15.14202,1.58161,9.26264,10.84425,Truman,Democrat,80,2,1,45,51,0,0,96,188,246,1,0,435
1949,0.21286,14.46555,1.65997,12.59271,14.25268,Truman,Democrat,81,1,1,54,42,0,1,96,263,171,1,1,435
1950,-1.04027,13.15525,1.60493,12.59059,14.19552,Truman,Democrat,81,2,1,54,42,0,1,96,263,171,1,1,435
1951,1.75894,14.87862,1.34471,11.77497,13.11968,Truman,Democrat,82,1,1,49,47,0,1,96,235,199,1,1,435
1952,-0.41351,18.01242,1.27974,17.14619,18.42593,Truman,Democrat,82,2,1,49,47,0,1,96,235,199,1,1,435
1953,-1.66822,17.88406,1.32471,18.22757,19.55228,Eisenhower,Republican,83,1,0,47,48,1,0,96,213,221,1,0,435
1954,-0.29548,17.84693,1.23186,16.91055,18.14241,Eisenhower,Republican,83,2,0,48,47,1,1,96,213,221,1,0,435
1955,-0.70344,15.38293,1.13989,14.94649,16.08638,Eisenhower,Republican,84,1,0,48,47,1,1,96,232,203,0,1,435
1956,0.87837,16.59875,1.13029,14.59009,15.72038,Eisenhower,Republican,84,2,0,48,47,0,1,95,232,203,0,1,435
1957,0.71977,16.87414,1.12944,15.02493,16.15437,Eisenhower,Republican,85,1,0,49,47,0,1,96,232,203,0,1,435
1958,-0.5754,16.54846,1.16452,15.95934,17.12386,Eisenhower,Republican,85,2,0,49,47,0,1,96,232,203,0,1,435
1959,-2.46313,15.19187,1.10456,16.55044,17.655,Eisenhower,Republican,86,1,0,65,35,0,1,100,282,153,1,1,436
1960,0.0555,17.05293,1.28083,15.7166,16.99743,Eisenhower,Republican,86,2,0,65,35,0,1,100,283,153,1,1,437
1961,-0.59319,16.78874,1.19457,16.18737,17.38194,Kennedy,Democrat,87,1,1,64,36,0,1,100,264,173,0,1,437
1962,-1.18327,16.50481,1.14071,16.5472,17.68791,Kennedy,Democrat,87,2,1,64,36,0,1,100,264,173,0,1,437
1963,-0.7461,16.71658,1.21421,16.24847,17.46268,Kennedy,Democrat,88,1,1,66,34,0,1,100,258,176,1,1,435
1964,-0.86418,16.45282,1.19788,16.11913,17.31701,Johnson,Democrat,88,2,1,66,34,0,1,100,258,176,1,1,435
1965,-0.19009,15.7374,1.15737,14.77012,15.92749,Johnson,Democrat,89,1,1,68,32,0,1,100,295,140,0,1,435
1966,-0.45463,16.08468,1.1539,15.38528,16.53918,Johnson,Democrat,89,2,1,68,32,0,1,100,295,140,0,1,435
1967,-1.00505,17.30573,1.19401,17.11665,18.31066,Johnson,Democrat,90,1,1,64,36,0,1,100,248,187,0,1,435
1968,-2.67485,16.26246,1.17897,17.75834,18.93731,Johnson,Democrat,90,2,1,64,36,0,1,100,248,187,0,1,435
1969,0.31859,18.36471,1.24792,16.7982,18.04612,Nixon,Republican,91,1,0,57,43,0,1,100,243,192,0,1,435
1970,-0.26479,17.96389,1.33979,16.88889,18.22868,Nixon,Republican,91,2,0,57,43,0,1,100,243,192,0,1,435
1971,-1.97734,16.0655,1.27407,16.76877,18.04284,Nixon,Republican,92,1,0,54,44,2,1,100,255,180,0,1,435
1972,-1.82729,16.20728,1.21006,16.82443,18.03449,Nixon,Republican,92,2,0,54,44,2,1,100,255,180,0,1,435
1973,-1.0459,16.19215,1.21715,16.0209,17.23805,Nixon,Republican,93,1,0,56,42,2,1,100,243,192,0,1,435
1974,-0.39702,17.03447,1.38807,16.04343,17.4315,Nixon,Republican,93,2,0,56,42,2,1,100,243,192,0,1,435
1975,-3.15994,16.56415,1.37954,18.34455,19.72409,Ford,Republican,94,1,0,61,37,2,1,100,291,144,0,1,435
1976,-3.93571,15.91001,1.42665,18.41906,19.84571,Ford,Republican,94,2,0,61,37,2,1,100,291,144,0,1,435
1977,-2.5775,17.07919,1.43629,18.2204,19.65669,Carter,Democrat,95,1,1,61,38,1,1,100,292,143,0,1,435
1978,-2.5168,16.99103,1.50783,18,19.50783,Carter,Democrat,95,2,1,61,38,1,1,100,292,143,0,1,435
1979,-1.55009,17.63392,1.62267,17.56134,19.18401,Carter,Democrat,96,1,1,58,41,1,1,100,278,157,0,1,435
1980,-2.5839,18.09788,1.83855,18.8432,20.68175,Carter,Democrat,96,2,1,58,41,1,1,100,278,157,0,1,435
1981,-2.46233,18.68613,2.14422,19.00427,21.14849,Reagan,Republican,97,1,0,46,53,1,0,100,243,192,0,1,435
1982,-3.8273,18.47503,2.54298,19.75935,22.30233,Reagan,Republican,97,2,0,46,53,1,0,100,243,192,0,1,435
1983,-5.71821,16.52602,2.4713,19.77294,22.24424,Reagan,Republican,98,1,0,45,55,0,0,100,269,166,0,1,435
1984,-4.591,16.50574,2.75168,18.34507,21.09675,Reagan,Republican,98,2,0,45,55,0,0,100,269,166,0,1,435
1985,-4.89304,16.91727,2.98407,18.82622,21.81029,Reagan,Republican,99,1,0,47,53,0,0,100,254,181,0,1,435
1986,-4.83067,16.79513,2.97004,18.65576,21.6258,Reagan,Republican,99,2,0,47,53,0,0,100,254,181,0,1,435
1987,-3.0839,17.59525,2.85489,17.82426,20.67915,Reagan,Republican,100,1,0,55,45,0,1,100,258,177,0,1,435
1988,-2.96343,17.36367,2.89897,17.42813,20.3271,Reagan,Republican,100,2,0,55,45,0,1,100,258,177,0,1,435
1989,-2.70561,17.56784,2.99528,17.27817,20.27345,Bush1,Republican,101,1,0,55,45,0,1,100,260,175,0,1,435
1990,-3.7067,17.3056,3.09144,17.92085,21.01229,Bush1,Republican,101,2,0,55,45,0,1,100,260,175,0,1,435
1991,-4.37207,17.13163,3.15758,18.34613,21.50371,Bush1,Republican,102,1,0,56,44,0,1,100,267,167,1,1,435
1992,-4.45255,16.73548,3.05727,18.13076,21.18803,Bush1,Republican,102,2,0,56,44,0,1,100,267,167,1,1,435
1993,-3.71873,16.83056,2.8973,17.652,20.5493,Clinton,Democrat,103,1,1,57,43,0,1,100,258,176,1,1,435
1994,-2.78825,17.27083,2.78476,17.27431,20.05907,Clinton,Democrat,103,2,1,56,44,0,1,100,258,176,1,1,435
1995,-2.14604,17.69417,3.0385,16.80171,19.84021,Clinton,Democrat,104,1,1,46,54,0,0,100,204,230,1,0,435
1996,-1.33072,17.99865,2.98587,16.3435,19.32937,Clinton,Democrat,104,2,1,47,53,0,0,100,204,230,1,0,435
1997,-0.25513,18.41122,2.84445,15.8219,18.66635,Clinton,Democrat,105,1,1,45,55,0,0,100,207,226,2,0,435
1998,0.76433,18.99771,2.66052,15.57286,18.23338,Clinton,Democrat,105,2,1,45,55,0,0,100,207,226,2,0,435
1999,1.30427,18.97535,2.38566,15.28542,17.67108,Clinton,Democrat,106,1,1,45,55,0,0,100,211,223,1,0,435
2000,2.30426,19.75344,2.17461,15.27457,17.44918,Clinton,Democrat,106,2,1,45,55,0,0,100,211,223,1,0,435
2001,1.21185,18.81606,1.94831,15.6559,17.60421,Bush2,Republican,107,1,0,50,49,1,1,100,213,220,2,0,435
2002,-1.4425,16.94463,1.56312,16.82402,18.38714,Bush2,Republican,107,2,0,50,49,1,1,100,213,220,2,0,435
2003,-3.29531,15.55486,1.33592,17.51425,18.85017,Bush2,Republican,108,1,0,48,51,1,0,100,205,229,1,0,435
2004,-3.37921,15.39345,1.31201,17.46064,18.77265,Bush2,Republican,108,2,0,48,51,1,0,100,205,229,1,0,435
2005,-2.44193,16.51968,1.4113,17.55032,18.96162,Bush2,Republican,109,1,0,44,55,1,0,100,201,233,1,0,435
2006,-1.79651,17.42264,1.64031,17.57884,19.21915,Bush2,Republican,109,2,0,44,55,1,0,100,201,233,1,0,435
2007,-1.11197,17.76924,1.64068,17.24053,18.88121,Bush2,Republican,110,1,0,49,49,2,1,100,233,202,0,1,435
2008,-3.11668,17.15502,1.71793,18.55377,20.2717,Bush2,Republican,110,2,0,49,49,2,1,100,233,202,0,1,435
2009,-9.77711,14.56847,1.29354,23.05204,24.34558,Obama,Democrat,111,1,1,57,41,2,1,100,257,178,0,1,435
2010,-8.63373,14.42568,1.30865,21.75076,23.05941,Obama,Democrat,111,2,1,57,41,2,1,100,257,178,0,1,435
2011,-8.36154,14.82036,1.47956,21.70233,23.18189,Obama,Democrat,112,1,1,51,47,2,1,100,193,242,0,0,435
2012,-6.64674,15.12619,1.36079,20.41214,21.77293,Obama,Democrat,112,2,1,51,47,2,1,100,193,242,0,0,435
2013,-4.04993,16.5334,1.31598,19.26735,20.58333,Obama,Democrat,113,1,1,53,45,2,1,100,201,234,0,0,435
2014,-2.76594,17.23881,1.30629,18.69846,20.00475,Obama,Democrat,113,2,1,53,45,2,1,100,201,234,0,0,435
2015,-2.42325,17.81904,1.22369,19.0186,20.24229,Obama,Democrat,114,1,1,44,54,2,0,100,188,247,0,0,435
2016,-3.11896,17.43373,1.28051,19.27217,20.55268,Obama,Democrat,114,2,1,44,54,2,0,100,188,247,0,0,435
2017,-3.40504,16.96867,1.34345,19.03026,20.37371,Trump,Republican,115,1,0,46,52,2,0,100,194,241,0,0,435
2018,-3.78004,16.1553,1.57664,18.3587,19.93534,Trump,Republican,115,2,0,47,51,2,0,100,194,241,0,0,435
2019,-4.59281,16.15353,1.75244,18.9939,20.74634,Trump,Republican,116,1,0,45,53,2,0,100,235,199,0,1,434
2020,-16.032,16.33485,1.64643,29.6475,31.29393,Trump,Republican,116,2,0,45,53,2,0,100,235,199,0,1,434
2021,,,,,,Biden,Democrat,117,1,1,48,50,2,1,100,222,212,0,1,434
